ID,Kode,Nama,Lantai,Fakultas,Status,Kapasitas,Luas,Rating,Tujuan
739,,Ruang Scienfic Lecture Hall,1,TPB,Tidak Aktif,500,750,4.2,Sidang
736,103,,1,TPB,Tidak Aktif,210,0,4.3,Kelas
227,303,AULA,3,Fakultas Keguruan dan Ilmu Pendidikan,Aktif,200,218.9,3.9,Seminar
83,102,NA,1,Fakultas Teknik,Tidak Aktif,200,1108.42,3.5,Sidang
193,,Ruang Sidang Senat,3,Fakultas Keguruan dan Ilmu Pendidikan,Aktif,200,296,3.9,Seminar
573,ATB 1.1,Ruang Dosen/Rapat/Lab. Mikro,1,Fakultas Peternakan,Tidak Aktif,200,200,3.7,Rapat
322,12,R. Jur. IESP,2,Fakultas Ekonomi,Tidak Aktif,164,34,4,Rapat
507,B3-E,Kelas E,3,Fakultas Kedokteran,Aktif,160,220,3.9,Kelas
510,B2-D,Kelas D,2,Fakultas Kedokteran,Aktif,160,220,3.6,Seminar
577,ATB.3.1,ATB.3.1,3,Fakultas Peternakan,Aktif,150,150,3.5,Seminar
150,405,R. Kuliah E-405,4,Fakultas Pertanian,Aktif,130,144,3.9,Sidang
539,FR.401,RUANG FARMASI R.401,4,Fakultas Kedokteran,Aktif,130,144,4.3,Rapat
540,FR.AULA,RUANG FARMASI R.AULA,4,Fakultas Kedokteran,Aktif,130,144,4.1,Rapat
518,A2-LABKOM,LAB. KOMPUTER,2,Fakultas Kedokteran,Aktif,125,40,3.6,Kelas
449,F,LAB. KIMIA DASAR,1,Fakultas Matematika dan Ilmu Pengetahuan Alam,Aktif,121,228.26,3.7,Kelas
570,ATA.3.1,ATA.3.1,3,Fakultas Peternakan,Aktif,120,150,3.2,Kelas
298,4,Housekeeping,1,Fakultas Ekonomi,Tidak Aktif,117,0,4.2,Rapat
466,H,LAB. FISIKA DASAR,2,Fakultas Matematika dan Ilmu Pengetahuan Alam,Aktif,115,214.11,4.3,Sidang
575,ATB.2.2,ATB.2.2,2,Fakultas Peternakan,Aktif,100,117,3.8,Sidang
699,ATE.3.2,ATE.3.2,3,Fakultas Peternakan,Aktif,100,120,4,Seminar
396,B.3.01,AULA,3,Fakultas Matematika dan Ilmu Pengetahuan Alam,Aktif,100,279.68,3.4,Seminar
16,A3_R.SIDU,Ruang Sidang Utama,3,Fakultas Hukum,Tidak Aktif,100,137.64,3.7,Rapat
173,L.PemodelanIK,Lab. Pemodelan Perikanan dan Kelautan,2,Fakultas Pertanian,Aktif,100,124,4.2,Sidang
741,,Loby Gedung TPB,1,TPB,Tidak Aktif,100,280,2.9,Rapat
153,203,R. Kuliah F-60,2,Fakultas Pertanian,Aktif,95,106.25,4.3,Kelas
605,R.3.1,R. Serba Guna,3,Fakultas Peternakan,Tidak Aktif,85,169.6,4.2,Kelas
509,A2-C,Kelas C,2,Fakultas Kedokteran,Tidak Aktif,85,140,4.4,Seminar
774,C2-01,R. Kuliah (Sipil),2,Fakultas Teknik,Aktif,80,116.64,3.7,Kelas
52,E3_AH.21,Ruang Kelas AH.21,3,Fakultas Hukum,Aktif,80,71,3.6,Rapat
353,A1.1,Ruang Kuliah,1,Fakultas Matematika dan Ilmu Pengetahuan Alam,Aktif,80,117.76,3.9,Kelas
30,B3_AH.10,Ruang Kelas AH.10,3,Fakultas Hukum,Aktif,80,80,3.3,Rapat
36,C3_AH.19A,Ruang Kelas AH.19A,3,Fakultas Hukum,Aktif,80,80,3.9,Rapat
91,C2-05,R. Kuliah (Sipil),2,Fakultas Teknik,Aktif,80,116.64,4.4,Seminar
95,B2-01,R.Kuliah M1 (mesin),2,Fakultas Teknik,Aktif,80,82.8,3.7,Seminar
130,202,R. Kuliah C-22,2,Fakultas Pertanian,Aktif,80,135,4.1,Seminar
104,C2-08,R. E (Elektro),2,Fakultas Teknik,Aktif,80,52.5,3.8,Sidang
358,A1.6,Ruang Kuliah,1,Fakultas Matematika dan Ilmu Pengetahuan Alam,Aktif,80,117.76,3.6,Rapat
884,C2_AH.16b,Ruang Kelas AH.16b,2,Fakultas Hukum,Aktif,80,80,4.2,Kelas
106,B2-02,R. Studio (Elektro),2,Fakultas Teknik,Aktif,80,52.5,3.5,Rapat
94,208,R.Kuliah,2,Fakultas Teknik,Tidak Aktif,80,106.92,4.2,Seminar
826,204,R. Kuliah F-23,2,Fakultas Pertanian,Aktif,80,72,4,Sidang
818,C1.8,PENDIDIKAN KIMIA,1,Fakultas Keguruan dan Ilmu Pendidikan,Aktif,80,92.16,3.7,Seminar
780,C2-14,R. Kuliah (Sipil),2,Fakultas Teknik,Aktif,80,116.64,3.8,Sidang
23,B2_AH.5,Ruang Kelas AH.5,2,Fakultas Hukum,Aktif,80,80,4,Sidang
776,C2-02,R. Kuliah (Sipil),2,Fakultas Teknik,Aktif,80,116.64,3.7,Seminar
35,C3_AH.20,Ruang Kelas AH.20,3,Fakultas Hukum,Aktif,80,80,3.3,Rapat
27,B3_AH.8,Ruang Kelas AH.8,3,Fakultas Hukum,Aktif,80,80,4.1,Seminar
101,C2-09,R. F (Elektro),2,Fakultas Teknik,Aktif,80,110.16,3.8,Kelas
24,B2_AH.6A,Ruang Kelas AH.6A,2,Fakultas Hukum,Aktif,80,80,3.7,Seminar
82,101,NA,1,Fakultas Teknik,Tidak Aktif,80,800.3,3.8,Rapat
97,C2-11,R.Kuliah H (mesin),2,Fakultas Teknik,Aktif,80,116.64,3.9,Seminar
38,C3_AH.18,Ruang Kelas AH.18,3,Fakultas Hukum,Aktif,80,80,4.2,Kelas
62,301,A3-01,3,Fakultas Teknik,Tidak Aktif,80,136.97,3.6,Sidang
41,C2_AH.15,Ruang Kelas AH.15,2,Fakultas Hukum,Aktif,80,80,3.8,Sidang
28,B3_AH.9A,Ruang Kelas AH.9A,3,Fakultas Hukum,Aktif,80,80,3.6,Sidang
25,B2_AH.6B,Ruang Kelas AH.6B,2,Fakultas Hukum,Aktif,80,80,3.9,Sidang
127,102,R. Kuliah C-12,1,Fakultas Pertanian,Aktif,80,135,4,Seminar
26,B2_AH.7,Ruang Kelas AH.7,2,Fakultas Hukum,Aktif,80,80,4.6,Kelas
882,C2_AH.16a,Ruang Kelas AH.16a,2,Fakultas Hukum,Aktif,80,80,3.3,Sidang
29,B3_AH.9B,Ruang Kelas AH.9B,3,Fakultas Hukum,Aktif,80,80,4.4,Sidang
37,C3_AH.19B,Ruang Kelas AH.19B,3,Fakultas Hukum,Aktif,80,80,3.8,Kelas
