ID,Kode,Nama,Lantai,Fakultas,Status,Kapasitas,Luas,Rating,Tujuan
275,A.A.3.Lab. 2,Lab. Komputer,3,Fakultas Ekonomi,Aktif,20,0.0,4.1,Rapat
292,A.C.3.1,Ruang Kuliah,3,Fakultas Ekonomi,Aktif,20,66.75,4.4,Rapat
893,A.E.1.2,"Ruang Kuliah, seminar dan Ujian",1,Fakultas Ekonomi,Aktif,10,0.0,3.8,Seminar
347,A.D.1.Lab1,Lab Komputer,1,Fakultas Ekonomi,Aktif,0,0.0,3.5,Kelas
43,C1_R.MIH A,Ruang Kelas MIH A,1,Fakultas Hukum,Aktif,40,80.0,3.6,Sidang
26,B2_AH.7,Ruang Kelas AH.7,2,Fakultas Hukum,Aktif,80,80.0,4.6,Kelas
25,B2_AH.6B,Ruang Kelas AH.6B,2,Fakultas Hukum,Aktif,80,80.0,3.9,Sidang
28,B3_AH.9A,Ruang Kelas AH.9A,3,Fakultas Hukum,Aktif,80,80.0,3.6,Sidang
41,C2_AH.15,Ruang Kelas AH.15,2,Fakultas Hukum,Aktif,80,80.0,3.8,Sidang
38,C3_AH.18,Ruang Kelas AH.18,3,Fakultas Hukum,Aktif,80,80.0,4.2,Kelas
24,B2_AH.6A,Ruang Kelas AH.6A,2,Fakultas Hukum,Aktif,80,80.0,3.7,Seminar
27,B3_AH.8,Ruang Kelas AH.8,3,Fakultas Hukum,Aktif,80,80.0,4.1,Seminar
35,C3_AH.20,Ruang Kelas AH.20,3,Fakultas Hukum,Aktif,80,80.0,3.3,Rapat
23,B2_AH.5,Ruang Kelas AH.5,2,Fakultas Hukum,Aktif,80,80.0,4.0,Sidang
39,C2_AH.17,Ruang Kelas AH.17 DIH,2,Fakultas Hukum,Aktif,40,80.0,3.6,Kelas
42,C1_R.MKN,Ruang Kelas MKN,1,Fakultas Hukum,Aktif,40,80.0,3.9,Rapat
884,C2_AH.16b,Ruang Kelas AH.16b,2,Fakultas Hukum,Aktif,80,80.0,4.2,Kelas
44,C1_R.MIH B,Ruang Kelas MIH B,1,Fakultas Hukum,Aktif,40,80.0,4.0,Rapat
36,C3_AH.19A,Ruang Kelas AH.19A,3,Fakultas Hukum,Aktif,80,80.0,3.9,Rapat
30,B3_AH.10,Ruang Kelas AH.10,3,Fakultas Hukum,Aktif,80,80.0,3.3,Rapat
54,E3_R.DOM,Gedung Dome,3,Fakultas Hukum,Aktif,60,113.0,3.9,Rapat
61,E2_R.DIH,Ruang Ujian DIH,2,Fakultas Hukum,Aktif,10,34.76,3.8,Sidang
29,B3_AH.9B,Ruang Kelas AH.9B,3,Fakultas Hukum,Aktif,80,80.0,4.4,Sidang
37,C3_AH.19B,Ruang Kelas AH.19B,3,Fakultas Hukum,Aktif,80,80.0,3.8,Kelas
52,E3_AH.21,Ruang Kelas AH.21,3,Fakultas Hukum,Aktif,80,71.0,3.6,Rapat
882,C2_AH.16a,Ruang Kelas AH.16a,2,Fakultas Hukum,Aktif,80,80.0,3.3,Sidang
493,1.10.,Ruang Lab. Sosio,2,Fakultas Ilmu Sosial dan Ilmu Politik,Aktif,20,72.98,3.9,Rapat
506,1.5.,Ruang 4.3,4,Fakultas Ilmu Sosial dan Ilmu Politik,Aktif,50,72.0,4.1,Sidang
482,1.3.,Ruang 1.1,1,Fakultas Ilmu Sosial dan Ilmu Politik,Aktif,50,72.0,4.0,Seminar
492,1.9.,R.2.2.Ruang Lab. Bahasa HI,2,Fakultas Ilmu Sosial dan Ilmu Politik,Aktif,20,72.98,3.8,Kelas
504,1.3.,Ruang 4.2,4,Fakultas Ilmu Sosial dan Ilmu Politik,Aktif,50,72.0,4.0,Sidang
505,1.4.,Ruang 4.1,4,Fakultas Ilmu Sosial dan Ilmu Politik,Aktif,50,72.0,3.6,Rapat
503,1.2.,Ruang 4.5,4,Fakultas Ilmu Sosial dan Ilmu Politik,Aktif,50,72.0,3.8,Kelas
498,1.3,R.3.3. Ruang Lab. Diplomasi HI,3,Fakultas Ilmu Sosial dan Ilmu Politik,Aktif,50,151.06,3.6,Rapat
